node1,node2,reg,Theta_Sigma,Theta_T,Theta_Tn,P,P_T,P_Tn,MI,CMI,Sigma
3.0,6.0,10.0,26.642895493079322,5.963921790148816,1.5921741963964577,0.001,0.001,0.977,0.724044828271011,0.4213366409626107,0.22590610527276625
3.0,6.0,1.0,22.712746846638012,5.007651245596675,1.81366050076522,0.001,0.001,0.986,0.724044828271011,0.43314345600576604,0.2110670549077818
3.0,6.0,2.0,18.22999957123268,2.815481177058814,0.5219618663913842,0.001,0.008,0.674,0.724044828271011,0.5905975044522456,0.18946222085687497
3.0,6.0,4.0,23.58021943088159,5.868978447694079,2.3665218686737397,0.001,0.001,0.999,0.724044828271011,0.4356979993313104,0.214062758537215
3.0,6.0,5.0,33.83603902261223,10.465883858300144,1.7084561721153533,0.001,0.001,0.984,0.7240447200459021,0.5062286762637848,0.2514288314050048
3.0,6.0,7.0,29.756302776045963,6.56584774866649,0.7798329831070108,0.001,0.001,0.775,0.7240447200459021,0.4765449998602786,0.24115578233582582
3.0,6.0,8.0,53.66612759778905,7.68380182192962,0.1309209220977311,0.001,0.001,0.388,0.7240447200459021,0.4546144390300971,0.3438447201775277
3.0,6.0,9.0,26.532151999330196,5.4267474147799515,1.5242373255775454,0.001,0.001,0.963,0.7240447200459021,0.4049425336332449,0.22669769279671037
3.0,8.0,10.0,4.144019612729575,1.3090533626868919,1.2708072834040758,1.0,0.927,0.927,0.43658824003951935,0.1488270989772443,0.08350183705021624
3.0,8.0,1.0,0.8866787052667284,2.256876282371842,0.08673367724143381,0.817,0.026,0.417,0.4365880938406894,0.2138503456135193,0.09427014448211302
3.0,8.0,2.0,0.16858954244848615,0.3903615078029898,1.883121409914192,0.439,0.626,0.994,0.4365880938406894,0.32792368899040647,0.0977296080149443
3.0,8.0,4.0,3.3563083758886934,2.582888616373129,1.7294930617966164,0.999,1.0,0.984,0.4365880938406894,0.1906553680568896,0.0859424348987664
3.0,8.0,5.0,1.6417240667607633,1.6548108510403061,0.03881903812967831,0.951,0.969,0.441,0.43658824003951935,0.20724062281509498,0.09172302335139428
3.0,8.0,6.0,2.3256977711661797,3.0983489225091776,0.036260425309292355,0.987,1.0,0.482,0.4365883108610493,0.1529638480919515,0.08893102645980144
3.0,8.0,7.0,1.0399985601918365,0.6765143452405522,0.7590276758718628,0.856,0.738,0.215,0.4365881646622185,0.2062812061200703,0.09372530368599624
3.0,8.0,9.0,3.952976733573952,2.505785406192538,2.1539321543239036,1.0,0.999,1.0,0.43658824003951935,0.13600318243888404,0.08354439856218845
3.0,10.0,1.0,1.2227964207689144,1.1983359759344512,2.285840584332309,0.888,0.89,0.999,0.43435187359294947,0.18535379590917628,0.09659362524034376
3.0,10.0,2.0,0.01635806634474693,0.4973499221255559,2.2073344089438556,0.486,0.293,0.031,0.4343518147694203,0.317279108220808,0.10093923933089169
3.0,10.0,4.0,2.0314126898645735,2.6525029559615376,1.2624827427216545,0.977,1.0,0.909,0.43435187359294947,0.1611660881781525,0.09372571476974619
3.0,10.0,5.0,1.2084276930535949,0.6484727803964936,1.0268928580064933,0.112,0.246,0.868,0.4343518147694203,0.26893978847422545,0.1052118272212233
3.0,10.0,6.0,5.210070633472981,3.676479751459027,1.3727826766088511,1.0,1.0,0.935,0.4343518147694203,0.1204462476747934,0.08201578151857568
3.0,10.0,7.0,0.8664155797985006,1.372133487799302,0.2430202868811378,0.187,0.092,0.355,0.434351871319687,0.2669434898076217,0.10423332218568862
3.0,10.0,8.0,3.235256041293118,1.9894658785612298,1.9125281835039833,0.999,0.99,0.996,0.43435181249615784,0.1481938535366953,0.0894452991307214
3.0,10.0,9.0,6.85353119502193,4.841153308777624,2.0518235851510123,1.0,1.0,0.999,0.434351871319687,0.09357707407544026,0.07685062825180648
4.0,9.0,10.0,2.480374287530922,2.5523172953566773,2.3065694309735645,0.989,0.999,1.0,0.7053089609462289,0.24496686480766908,0.10915527623884079
4.0,9.0,1.0,18.092849349798954,1.4234232359634946,2.394583661299446,0.001,0.088,1.0,0.7053089609462289,0.2836148906953092,0.19763133801918034
4.0,9.0,2.0,9.129154302814984,1.383764591157753,1.531968070926855,0.001,0.097,0.96,0.7053089609462289,0.5398050666767239,0.1567334992655476
4.0,9.0,3.0,30.52088752147057,4.681934075778668,2.1216089904745896,0.001,0.001,0.996,0.7053089609462289,0.420302350918887,0.2495364518111374
4.0,9.0,5.0,60.072069352974566,10.570317310974444,0.1510488783567217,0.001,0.001,0.504,0.7053089609462289,0.5921774224070795,0.3687610173710233
4.0,9.0,6.0,33.32623662297442,7.146738699680468,0.8693810721189004,0.001,0.001,0.819,0.7053089609462289,0.4123153994077577,0.26354764892518256
4.0,9.0,7.0,68.96613983872794,13.996132218590372,1.9919721610945107,0.001,0.001,0.039,0.7053089609462289,0.6092102908546818,0.40820675155332115
4.0,9.0,8.0,30.473233750558734,6.777526307552719,1.3392587064360226,0.001,0.001,0.933,0.7053089609462289,0.4370677864865405,0.25143448177076855
5.0,7.0,10.0,45.639338419258245,9.998389596066074,0.37255868919405566,0.001,0.001,0.322,0.8995780575523256,0.7881009568583874,0.32364288565019467
5.0,7.0,1.0,57.04780090919751,8.765206133381326,1.0846504535829082,0.001,0.001,0.866,0.89957820548132,0.8113719858425131,0.37016292577370996
5.0,7.0,2.0,46.042202196531676,9.963731756524606,0.4182234045786973,0.001,0.001,0.296,0.89957820548132,0.8621271577343655,0.3297992394565705
5.0,7.0,3.0,43.813190295867976,10.311875864648036,0.954593206996988,0.001,0.001,0.846,0.89957820548132,0.7009695415845846,0.30644636360203464
5.0,7.0,4.0,63.914672053360306,9.81403475447402,0.8274418112083296,0.001,0.001,0.802,0.8995780782596583,0.8147317520312589,0.4079531641317878
5.0,7.0,6.0,39.5787158611496,10.126459547034337,1.773560221813981,0.001,0.001,0.975,0.8995780782596583,0.6480710020934651,0.30705382986717594
5.0,7.0,8.0,35.08283300056816,6.294428769828184,0.6004500490061727,0.001,0.001,0.702,0.89957820548132,0.6244280948601039,0.27634879491625947
