node1,node2,reg,MI,CMI,Theta_Sigma,Theta_T,Theta_Tn,Sigma,P,P_T,P_Tn,S
ZEB1,ZFHX2,OVOL1,0.0939647016965903,0.098710898164261,3.58100729264896,3.640080590644,3.35809338875268,0.159818023552582,0.001,0.001,0.006,0.7326410958949545
HLTF,SP3,DLX3,0.179375909834697,0.147196843719548,4.05004712057197,3.95677735420102,0.101223355939238,0.211891984999013,0.001,0.001,0.41,0.6687615724114397
MGA,MAX,PITX1,0.034820545557996,0.231545296633986,3.64493446916982,3.99266732473655,0.770694995148402,0.191122081031897,0.001,0.001,0.194,0.6499540838924905
PKNOX1,HOXB6,OLIG1,0.145417535862083,0.0896048172549906,4.1726836811512,4.0465706737989,4.50213056106081,0.179209634509981,0.001,0.001,0.001,
ARNTL,CLOCK,POU3F4,0.111734223981361,0.12522710143854,3.39171440549179,3.18645221237719,1.12030343614932,0.16664575948122,0.001,0.005,0.128,0.7409446270645784
ESX1,ELF3,HOXB7,0.0329956793680131,0.0641682246814198,3.91252375035735,3.9558402741676,1.18838163467905,0.0948716135852268,0.001,0.001,0.876,0.5692007094038924
MYOD1,TCF12,HIC1,0.0183486221260956,0.146775396488064,3.74325838934306,4.48586346198579,4.89609291455204,0.147095092250111,0.001,0.001,0.001,0.574344967786995
ZEB1,EVX1,CEBPG,0.0,0.0753910805221786,3.9230203922309,3.79225758215328,3.91299347429935,0.141117807687295,0.001,0.002,0.002,0.6259421549542341
PAX9,MSX1,ZEB1,0.189979430487699,0.128176703956258,3.84109799710934,3.51692237111372,2.19370116069638,0.162993644612646,0.001,0.003,0.031,0.5251081137859434
ETS2,ERF,MEF2A,0.0118315758787499,0.101422209353563,4.12499121678712,4.10879646650728,4.58127594162175,0.184509835668597,0.001,0.001,0.001,0.7019219164186767
NEUROD1,ZFHX3,ZNF274,0.0,0.0918911677796447,4.7973226556081,4.87799453954576,5.34005381441999,0.143403377017135,0.001,0.001,0.001,0.5965007812647718
EP300,SREBF1,GABPA,0.0,0.104005315688344,4.24557504255354,4.29975965089761,4.49530469184386,0.171550717920218,0.001,0.001,0.001,0.6783840551837167
RAX,SRF,MAFK,0.0,0.084806386859912,5.11033725477978,4.93220009245826,5.63474509957517,0.169612773719824,0.001,0.001,0.001,
EGR2,HOXB2,HOXA3,0.0,0.154752598071989,4.79270708754654,4.92212246995922,4.968366345902,0.195692639869416,0.001,0.001,0.001,0.6999916751775334
BCL6,IRF4,CDX2,0.144527254440658,0.168753992077226,3.7654672259061903,3.77358651930365,4.10752708238391,0.225366888367241,0.001,0.002,0.001,0.7617999813999622
HNF4A,SMAD4,E2F3,0.021231848833549,0.0858627599535094,4.02471222527698,3.96013609379836,4.48105337122324,0.16082412749171,0.001,0.001,0.001,0.6205087641294242
MYOD1,TCF3,TP63,0.0,0.0578084953664626,3.33593000469377,3.19228584885783,3.75005591061102,0.115616990732925,0.001,0.002,0.001,
SP1,FEZF1,FOSL2,0.120671796304958,0.0849465899696317,5.21424726028152,4.98852929020776,5.64344067661386,0.151919636763267,0.001,0.001,0.001,0.5360305583968348
TCF4,HIVEP2,PAX5,0.0285361280585699,0.0962519848878837,5.02985679474257,4.86305720344518,5.39202938508466,0.192068469308201,0.001,0.001,0.001,0.6874358191728147
TCF4,NEUROD2,SOX2,0.0,0.124324304494313,4.80802367275459,4.73531280780072,2.14209512087478,0.165777133991978,0.001,0.001,0.038,0.6956421147485798
NFYB,NFYA,PROP1,0.00978544521849,0.131275915862692,4.45352600307206,4.25026250559895,4.71483658978054,0.171144420836662,0.001,0.001,0.001,0.660150705314593
FOXL1,GLI2,NR2C2,0.148560535299606,0.115263723531792,4.1664811971219,4.28368409919106,4.93114009086695,0.169616751052458,0.001,0.001,0.001,0.3989958247737862
POU3F2,PAX3,DMRTC2,0.0,0.0918114102223912,3.54150946690686,2.93690636611992,3.52028535589235,0.11324365779251,0.001,0.009,0.007,0.6860116141401748
SIX3,PAX6,RORA,0.0197043592335402,0.116009955671783,3.46343277890694,3.74135559721444,2.4549148239196,0.133681491623276,0.001,0.001,0.016,0.5129830670721979
ARID5B,BBX,TFEB,0.0091433563132108,0.164364976037753,3.81382689067018,4.24413357935596,2.27005971084952,0.186344784353902,0.001,0.001,0.022,0.7205695134670321
