node1,node2,reg,MI,CMI,Theta_Sigma,Theta_T,Theta_Tn,Sigma,P,P_T,P_Tn,S
HOXA9,HOXA7,ELK3,1.112822518526140,1.0117339321927300,3.3480158532931600,3.090887297704230,1.202412105557110,0.2471604638393190,0.001,0.006,0.117,0.4957669936091360
HOXB2,HOXB5,HOXB8,0.7825882731728040,0.3990864968292070,4.01606640044349,4.174273283303420,5.248057870741280,0.2924064027286800,0.001,0.001,0.001,0.49617797290201800
HOXB2,HOXB3,ELK1,1.1451867527707100,0.9502130305797280,2.9366942003412800,2.758163493713860,1.208572363075660,0.2458574233674720,0.001,0.006,0.118,0.4970059313681320
HOXB3,HOXB2,NFYA,1.1451867527707100,0.915576978723088,3.282114036655300,2.9579075393926000,1.961164378619600,0.2614399052459140,0.001,0.001,0.993,0.4971462679397380
HOXA3,HOXA7,BPTF,1.0903002525183500,1.0587590626923200,3.204781507849430,2.940174392788100,2.3086158222275000,0.2148522909552080,0.001,0.003,0.025,0.4975738475336490
HOXA5,HOXA9,AIRE,1.0201047777773100,0.878952723948732,3.386914111060100,3.382395538145900,1.4261839447440200,0.2773118966449230,0.001,0.001,0.08,0.4998163682551750
HOXB5,HOXB6,ELF3,1.1664079793536400,1.0497825714619600,3.190693630570940,3.095872977818050,1.9228944458950100,0.263725867178874,0.001,0.007,0.043,0.4999025311839250
HOXB5,HOXB3,HOXA3,0.7702160357690510,0.4383320376264010,4.74408019007953,4.548140580138970,0.5627163298702720,0.2943461951304980,0.001,0.001,0.249,0.5001237632851330
HOXB5,HOXB3,HOXA2,0.7697066114185670,0.3990301921103100,3.7584427513986,3.1652720763517300,0.7560611304366860,0.2573336387524200,0.001,0.002,0.235,0.5019372545079510
HOXA5,HOXA9,HOXA1,1.0201047777773100,0.643122138506229,3.85045238317296,2.2375386664095500,2.9760853657477000,0.3139326643261810,0.001,0.024,0.009,0.5026817501944240
HOXB8,HOXB6,NFYC,0.4384483315082320,0.3844771463739100,3.045838416006960,2.1299501412813900,3.142119545118740,0.274937506047684,0.001,0.023,0.004,0.5027463543571720
